N	Date	Time	Current,mA	Voltage,V	Field,kV/cm	FrameN	RunN	Trig	TrigTime,s	
0000000	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000001	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000002	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000003	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000004	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000005	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000006	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000007	16.03.2022	15:53:33	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000008	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000009	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000010	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000011	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000012	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000013	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000014	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000015	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000016	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000017	16.03.2022	15:53:34	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000018	16.03.2022	15:53:35	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000019	16.03.2022	15:53:35	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000020	16.03.2022	15:53:35	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000021	16.03.2022	15:53:35	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000022	16.03.2022	15:53:35	+00.000	+00.000	+00.000	00001	00001	0	00.00	
0000023	16.03.2022	15:53:35	+00.000	+00.000	+00.000	00001	00001	0	00.00	
